Year	Mean	Max	Min	StdDev	Tqmean	RBindex
1956	720.622951	5650.000000	164.000000	733.757322	0.316940	0.102739
1957	531.347945	2460.000000	144.000000	498.072104	0.295890	0.082201
1958	832.753425	2800.000000	176.000000	533.721312	0.383562	0.097450
1959	973.263014	6800.000000	152.000000	922.305867	0.312329	0.090969
1960	945.969945	4180.000000	267.000000	606.513803	0.407104	0.089561
1961	694.191781	3300.000000	200.000000	580.072250	0.339726	0.090800
1962	762.523288	4260.000000	122.000000	661.622085	0.339726	0.112594
1963	476.326027	6500.000000	116.000000	677.164300	0.260274	0.129687
1964	353.961749	1680.000000	106.000000	308.696195	0.311475	0.094828
1965	648.657534	2560.000000	138.000000	511.637020	0.361644	0.101060
1966	585.726027	3070.000000	87.000000	491.639516	0.334247	0.082083
1967	943.293151	6450.000000	104.000000	904.456041	0.391781	0.098796
1968	1053.721311	6490.000000	143.000000	902.880398	0.366120	0.107062
1969	915.621918	4790.000000	167.000000	680.968444	0.408219	0.094951
1970	707.605479	3480.000000	185.000000	537.399102	0.353425	0.098019
1971	647.838356	3390.000000	161.000000	518.791218	0.378082	0.091996
1972	828.483607	3920.000000	192.000000	730.452068	0.322404	0.103894
1973	1351.073973	4620.000000	223.000000	765.725945	0.531507	0.074263
1974	1039.358904	4650.000000	186.000000	901.638993	0.397260	0.081386
1975	925.471233	4690.000000	174.000000	731.552070	0.400000	0.097638
1976	868.300546	4990.000000	181.000000	936.702346	0.275956	0.082770
1977	561.093151	2800.000000	184.000000	498.792704	0.298630	0.085147
1978	945.054795	6640.000000	158.000000	1114.593831	0.268493	0.078833
1979	716.712329	7390.000000	166.000000	924.210612	0.249315	0.109886
1980	898.669399	5270.000000	170.000000	844.431077	0.284153	0.108036
1981	1253.158904	8450.000000	282.000000	1395.104249	0.298630	0.114311
1982	1142.506849	8370.000000	225.000000	1338.221100	0.268493	0.082772
1983	944.715068	4770.000000	161.000000	835.468231	0.345205	0.098492
1984	868.336066	3840.000000	180.000000	773.688440	0.336066	0.085794
1985	1152.986301	8420.000000	189.000000	1332.668602	0.282192	0.098596
1986	972.797260	3140.000000	212.000000	555.597780	0.410959	0.095572
1987	802.638356	4180.000000	250.000000	500.078599	0.419178	0.075541
1988	641.502732	2620.000000	133.000000	552.058319	0.377049	0.091390
1989	620.487671	2000.000000	166.000000	343.115402	0.383562	0.078370
1990	1216.953425	6970.000000	217.000000	1144.383732	0.328767	0.106913
1991	1344.301370	6720.000000	186.000000	1039.605471	0.441096	0.095289
1992	721.068306	1930.000000	180.000000	350.811831	0.407104	0.071168
1993	1351.273973	6570.000000	320.000000	936.507151	0.413699	0.094314
1994	1035.586301	5410.000000	203.000000	776.796282	0.400000	0.094158
1995	896.838356	3200.000000	183.000000	705.347392	0.336986	0.093297
1996	865.617486	5910.000000	178.000000	848.376352	0.306011	0.092706
1997	1439.430137	5240.000000	303.000000	852.889799	0.432877	0.083521
1998	1425.791781	6100.000000	307.000000	988.004611	0.383562	0.093552
1999	918.950685	5200.000000	143.000000	873.683042	0.375342	0.085028
2000	531.745902	1600.000000	198.000000	340.878034	0.325137	0.079542
2001	838.876712	3260.000000	280.000000	585.145040	0.284932	0.084496
2002	1179.320548	4120.000000	160.000000	856.829839	0.438356	0.079144
2003	509.909589	2830.000000	154.000000	441.285628	0.317808	0.094930
2004	838.827869	3070.000000	272.000000	541.091242	0.390710	0.095954
2005	947.802740	7150.000000	152.000000	1002.284725	0.339726	0.094500
2006	580.339726	2350.000000	189.000000	391.513736	0.350685	0.085619
2007	1050.783562	3770.000000	211.000000	702.418628	0.443836	0.085429
2008	1430.549180	9030.000000	203.000000	1443.990542	0.407104	0.113468
2009	1179.293151	9410.000000	230.000000	1260.695759	0.367123	0.101564
2010	840.687671	2870.000000	277.000000	424.599593	0.454795	0.071526
