Year	Mean	Max	Min	StdDev	Tqmean	RBindex
1956	599.193989	4820.000000	56.000000	718.011953	0.306011	0.252616
1957	986.726027	7840.000000	56.000000	1455.980398	0.271233	0.305799
1958	1218.016438	22100.000000	143.000000	2435.560289	0.197260	0.308316
1959	934.375342	14900.000000	96.000000	1604.431625	0.295890	0.271475
1960	575.415301	4410.000000	91.000000	629.394579	0.292350	0.244179
1961	602.630137	7200.000000	77.000000	1073.018950	0.200000	0.208381
1962	763.783562	10300.000000	96.000000	1229.226385	0.243836	0.315055
1963	427.994521	9590.000000	52.000000	901.012724	0.210959	0.259518
1964	650.732240	17600.000000	47.000000	1612.701272	0.213115	0.311927
1965	561.216438	6100.000000	63.000000	881.515297	0.271233	0.269965
1966	315.578082	1690.000000	51.000000	248.102054	0.367123	0.126805
1967	713.624658	9040.000000	58.000000	1150.333570	0.268493	0.243543
1968	707.991803	12300.000000	74.000000	1401.981708	0.243169	0.280509
1969	705.054795	12000.000000	98.000000	1250.942384	0.246575	0.257992
1970	883.997260	6980.000000	132.000000	1120.472493	0.268493	0.261694
1971	602.263014	6120.000000	125.000000	775.365399	0.227397	0.284669
1972	717.907104	10500.000000	104.000000	1163.917223	0.254098	0.239008
1973	1204.884932	6020.000000	139.000000	1166.969190	0.328767	0.238192
1974	1359.386301	11800.000000	118.000000	1880.173297	0.260274	0.239132
1975	780.989041	6840.000000	120.000000	959.014524	0.287671	0.288403
1976	732.767760	9340.000000	99.000000	1288.807340	0.202186	0.272662
1977	320.498630	2510.000000	53.000000	409.090647	0.298630	0.239240
1978	1096.120548	10800.000000	91.000000	1691.162847	0.246575	0.252927
1979	681.709589	8200.000000	93.000000	1023.271066	0.263014	0.323563
1980	877.726776	11900.000000	106.000000	1329.072086	0.237705	0.259256
1981	598.254795	8890.000000	115.000000	932.746204	0.287671	0.264624
1982	1140.065753	8660.000000	138.000000	1455.897747	0.271233	0.273886
1983	838.813699	17800.000000	100.000000	1515.354252	0.268493	0.269504
1984	770.841530	7430.000000	95.000000	1099.687992	0.245902	0.222801
1985	773.838356	17100.000000	78.000000	1692.548098	0.183562	0.266489
1986	925.956164	8000.000000	82.000000	1314.942068	0.279452	0.276800
1987	310.353425	1750.000000	83.000000	234.178042	0.293151	0.167063
1988	559.704918	5950.000000	78.000000	784.553041	0.295082	0.204898
1989	853.923288	16100.000000	62.000000	1626.054513	0.197260	0.316819
1990	943.476712	10400.000000	149.000000	1290.978840	0.252055	0.272575
1991	964.553425	16300.000000	73.000000	1579.198162	0.293151	0.254813
1992	829.661202	12700.000000	107.000000	1419.817034	0.221311	0.241529
1993	1460.142466	14700.000000	175.000000	1826.887684	0.260274	0.289134
1994	855.126027	10900.000000	131.000000	1227.386821	0.293151	0.276343
1995	503.473973	5090.000000	80.000000	654.231801	0.224658	0.228935
1996	627.259563	7400.000000	74.000000	919.618000	0.275956	0.266509
1997	1021.479452	12800.000000	72.000000	1534.792964	0.293151	0.281974
1998	1052.915068	16600.000000	70.000000	1916.359451	0.260274	0.300225
1999	684.082192	14700.000000	58.000000	1373.391308	0.257534	0.248510
2000	263.551913	7090.000000	66.000000	503.415606	0.193989	0.269404
2001	513.906849	4330.000000	98.000000	655.230579	0.268493	0.255398
2002	992.728767	6250.000000	91.000000	1167.153372	0.298630	0.278576
2003	992.764384	19100.000000	96.000000	2188.795936	0.208219	0.290085
2004	962.939891	15500.000000	161.000000	1474.670886	0.237705	0.295728
2005	947.961644	17200.000000	65.000000	1929.001885	0.200000	0.255933
2006	700.991781	6550.000000	126.000000	834.499065	0.290411	0.240563
2007	1081.501370	10200.000000	72.000000	1492.601528	0.304110	0.285660
2008	1078.030055	9910.000000	73.000000	1285.444549	0.344262	0.285742
2009	981.969863	11200.000000	89.000000	1555.402703	0.282192	0.336057
2010	977.479452	12700.000000	98.000000	1329.012383	0.295890	0.273941
